iter,applicant_id,program_id,quota_id,ranking,score
1,2750624,6088,1,1,1.10645
1,2811009,3755,1,1,10.09138
1,20209486,6104,1,1,10.26734
1,21074461,4699,1,1,19466.54575
1,21922616,2024,1,1,27647.1101
1,22369185,2023,1,1,19475.3274
1,22619760,7038,1,1,6488.18245
1,22880792,5211,1,1,29251.29743
1,22993163,4363,1,1,19466.07847
1,23143009,3039,1,1,26018.12996
1,23237643,4959,1,1,19466.26679
1,23301283,2470,1,1,19457.11595
1,23456043,2190,1,1,19457.27592
1,23502406,133,1,1,19455.44117
1,23603487,5751,1,1,19466.25775
1,24059743,7693,1,1,4.1756
1,24083730,5973,1,1,19475.4062
1,24299062,7596,1,1,6488.32118
1,24954646,6231,1,1,19.6095
1,25226804,5036,1,1,19466.13654
1,25303431,54,1,1,19484.40852
1,25386796,3870,1,1,26027.63022
1,25570303,5868,1,1,27643.45261
1,25725369,5275,1,1,6488.35869
1,25869873,7577,1,1,1.45593
1,25917546,4369,1,1,19492.27226
1,25959989,7437,1,1,12986.37912
1,26237703,5193,1,1,22.37625
1,26548524,3414,1,1,26018.05411
1,26787767,1498,1,1,26045.52311
1,26790792,5320,1,1,26045.2322
1,26793366,3732,1,1,26018.11775
1,26801869,1736,1,1,27755.52526
1,26801943,50,1,1,19465.22673
1,26822737,7490,1,1,26025.29685
1,26832512,385,1,1,26054.63041
1,26839822,3671,1,1,26027.34128
1,26855187,5277,1,1,26036.53549
1,26855495,927,1,1,26026.31835
1,26856053,4647,1,1,26036.38012
1,26864883,3783,1,1,26027.11873
1,26870510,2873,1,1,19475.24134
1,26883871,377,1,1,26027.3056
1,26891685,240,1,1,26036.16895
1,26906419,3783,1,1,26045.50463
1,26913786,3731,1,1,26027.26912
1,26915784,3758,1,1,26045.21039
1,26916051,1215,1,1,26036.32755
1,26916737,3570,1,1,26044.45778
1,26946975,927,1,1,26027.4302
1,26953427,1297,1,1,27764.13766
1,26966763,7318,1,1,21.07949
1,26978556,3054,1,1,29353.01872
1,26988599,1943,1,1,28.01381
1,26999741,1011,1,1,26045.60825
1,27006984,827,1,1,26018.1705
1,27009926,4729,1,1,26018.05141
1,27011792,1299,1,1,29348.35023
1,27016173,3860,1,1,26018.39747
1,27030245,240,1,1,26034.64712
1,27033746,2440,1,1,26018.04656
1,27037860,7175,1,1,26018.02969
1,27060478,1299,1,1,26027.35718
1,27065304,3710,1,1,26036.06904
1,27066919,4871,1,1,26044.26698
1,27067260,1294,1,1,26026.0914
1,27070774,7220,1,1,26036.58706
1,27079347,7213,1,1,26027.44936
1,27081821,3672,1,1,26027.07534
1,27081922,7360,1,1,26063.39827
1,27084903,212,1,1,29465.30119
1,27086996,1298,1,1,26117.15081
1,27091090,2012,1,1,26027.48776
1,27109247,63,1,1,26045.20109
1,27109611,3899,1,1,26036.14829
1,27110526,5208,1,1,26027.59421
1,27117234,4871,1,1,26063.04526
1,27125880,4649,1,1,26036.25461
1,27127624,3672,1,1,26034.35886
1,27143340,4870,1,1,26044.48906
1,27148600,6203,1,1,26045.38115
1,27152286,3697,1,1,26027.27084
1,27154800,7671,1,1,5.55881
1,27158645,4576,1,1,26018.40471
1,27164688,2489,1,1,26027.44985
1,27169362,7723,1,1,26017.54961
1,27171829,5667,1,1,3.61075
1,27175897,4577,1,1,26027.5268
1,27180814,3048,1,1,26020.5901
1,27181571,3782,1,1,26027.33473
1,27182912,5843,1,1,26045.48447
1,27194981,1745,1,1,26045.12887
1,27200688,618,1,1,26045.51923
1,27201169,2183,1,1,21.50948
1,27203278,7071,1,1,26036.5244
1,27209726,3696,1,1,12977.09814
1,27210231,489,1,1,26045.63074
1,27212041,7213,1,1,26027.20232
1,27212066,3687,1,1,26027.49829
1,27212194,5838,1,1,26045.11247
1,27213880,190,1,1,26036.56986
1,27214291,3771,1,1,26036.67355
1,27214537,3861,1,1,26027.45038
1,27214635,7357,1,1,26027.05032
1,27222456,902,1,1,26027.03573
1,27225510,3672,1,1,26027.51305
1,27232907,6347,1,1,26135.12273
1,27245077,1297,1,1,26027.64396
1,27251232,3860,1,1,26036.48075
1,27252356,4095,1,1,26036.15416
1,27254444,2866,1,1,26036.11677
1,27255146,2894,1,1,26036.23991
1,27255838,4871,1,1,26036.61439
1,27256602,620,1,1,26054.18598
