iter,program_id,quota_id,not_filled,lower_cutoff,upper_cutoff
1,1,2,False,1.0,1.07023
1,1,3,False,1.0,1.09507
1,3,2,True,1.0,1.0
1,3,3,False,1.0,1.09848
1,5,2,False,1.0,1.07577
1,5,3,False,1.0,1.11343
1,6,2,False,1.0,1.0551
1,6,11.0,True,1.0,1.0
1,7,2,False,1.0,1.04307
1,7,3,False,1.0,1.00649
1,9,2,False,1.0,1.00243
1,9,3,False,1.0,1.04754
1,10,2,True,1.0,1.0
1,10,3,False,1.0,1.05398
1,11,2,True,1.0,1.0
1,11,3,False,1.0,1.10501
1,13,2,False,1.0,1.11656
1,13,3,False,1.0,1.11623
1,17,2,False,1.0,1.05744
1,17,3,False,1.0,1.0274
1,18,2,False,1.0,1.06205
1,18,3,False,1.0,1.1029
1,19,2,True,1.0,1.0
1,21,2,False,1.0,1.1019700000000001
1,21,3,False,1.0,1.12237
1,21,11.0,True,1.0,1.0
1,22,3,False,1.0,1.13927
1,25,2,False,1.0,1.04793
1,25,3,False,1.0,1.08586
1,29,2,False,1.0,1.02514
1,29,3,False,1.0,1.02248
1,30,2,False,1.0,1.13757
1,69,11.0,False,1.0,1.00176
1,70,11.0,False,1.0,3.00473
1,71,11.0,False,1.0,1.11171
1,72,11.0,False,1.0,3.07328
1,73,11.0,False,1.0,1.1448
1,74,11.0,False,1.0,3.03539
1,75,11.0,False,1.0,4.04192
1,76,11.0,False,1.0,1.14033
1,77,11.0,False,1.0,3.00147
1,78,11.0,False,1.0,1.09185
1,79,11.0,False,1.0,1.11777
1,82,11.0,False,1.0,1.09584
1,83,11.0,False,1.0,1.0864
1,84,11.0,False,1.0,3.1432
1,85,11.0,True,1.0,1.0
1,86,11.0,True,1.0,1.0
1,91,11.0,False,1.0,1.04524
1,92,11.0,False,1.0,1.10043
1,93,11.0,False,1.0,1.12596
1,95,11.0,False,1.0,1.03103
1,98,2,False,1.0,1.11214
1,98,3,False,1.0,4.07972
1,99,2,False,1.0,2.00238
1,99,3,False,1.0,4.10573
1,100,2,False,1.0,1.1271
1,100,3,False,1.0,5.03387
1,101,2,False,1.0,1.1223
1,101,3,False,1.0,1.0427
1,103,2,False,1.0,1.13316
1,103,3,False,1.0,4.08369
1,104,2,False,1.0,1.0728
1,104,3,False,1.0,3.07835
1,106,2,False,1.0,1.07684
1,106,3,False,1.0,1.07943
1,107,2,False,1.0,1.07542
1,107,3,False,1.0,1.03851
1,109,2,False,1.0,1.1365
1,109,3,False,1.0,4.12537
1,110,2,False,1.0,1.11056
1,110,3,False,1.0,1.13102
1,111,2,False,1.0,1.03002
1,111,3,False,1.0,1.14223
1,112,2,False,1.0,1.01336
1,112,3,False,1.0,1.12361
1,113,2,False,1.0,1.0594999999999999
1,113,3,False,1.0,3.08945
1,114,2,False,1.0,1.02037
