program_id,upper_cutoff,lower_cutoff,not_filled,iter
1,6.04667,23.04528,False,1
3,4.11546,4.09603,False,1
5,6.02668,37.01784,False,1
6,5.0551,33.02089,False,1
7,4.00649,1.0,False,1
9,4.09409,5.08909,False,1
10,5.05398,4.13413,False,1
11,6.10501,1.0,False,1
13,6.06574,6.065,False,1
17,6.0108,29.02802,False,1
18,6.03388,6.03685,False,1
19,1.0,33.06253,True,1
21,6.0792,18.04945,False,1
22,6.12917,6.1344,False,1
25,6.02636,19.12744,False,1
29,2.03344,5.09816,False,1
30,6.13109,6.11811,False,1
69,2.11322,24.13023,False,1
70,28.0411,23.00473,False,1
71,6.11171,6.08332,False,1
72,33.07328,33.0576,False,1
73,28.00914,28.1166,False,1
74,33.03539,33.01245,False,1
75,34.04192,33.12446,False,1
76,6.11534,6.10911,False,1
77,18.09162,6.1419,False,1
78,6.04211,23.11953,False,1
79,6.09748,6.09701,False,1
82,6.09584,29.01436,False,1
83,3.0864,18.02175,False,1
84,33.1432,1.0,False,1
85,1.0,2.01445,True,1
86,1.0,29.05358,True,1
91,5.0741,5.11407,False,1
92,6.05991,28.01649,False,1
93,6.11622,23.07591,False,1
95,4.09911,5.01025,False,1
98,4.12335,30.13448,False,1
99,22.00184,34.10527,False,1
100,6.1184,35.02064,False,1
101,3.07249,23.11523,False,1
103,6.13316,25.10546,False,1
104,6.01039,30.07133,False,1
106,3.07943,28.03239,False,1
107,4.03851,26.08796,False,1
109,6.1365,34.1059,False,1
110,6.06643,28.09439,False,1
111,5.06052,33.12805,False,1
112,4.0374,22.03523,False,1
113,5.04122,28.10154,False,1
114,2.14243,5.075,False,1
115,6.05669,5.13978,False,1
116,3.08593,28.06965,False,1
117,3.07844,5.03106,False,1
118,2.00809,18.12644,False,1
120,2.08999,34.13791,False,1
121,3.02439,5.08799,False,1
122,2.05615,5.14675,False,1
123,2.0553,6.13842,False,1
124,5.0101,37.12948,False,1
125,35.03701,34.13379,False,1
126,35.03775,30.08515,False,1
127,6.0687,24.08318,False,1
128,6.03096,30.01161,False,1
129,6.08023,30.01662,False,1
130,35.1248,35.11981,False,1
131,4.13582,5.11342,False,1
133,3.11292,5.14638,False,1
134,4.06721,5.11451,False,1
135,2.04102,4.02737,False,1
136,4.0658,4.12075,False,1
137,1.0,5.11015,True,1
139,5.0046,5.09978,False,1
140,4.09263,3.05736,False,1
141,6.02149,2.04607,False,1
142,3.13781,3.04573,False,1
143,1.05793,5.08557,False,1
144,4.01743,5.12786,False,1
145,30.07622,1.0,False,1
146,1.0,1.0,True,1
147,2.04663,1.0,False,1
148,1.0,1.0,True,1
149,1.0,18.04996,True,1
150,35.08358,1.0,False,1
151,1.0,1.13595,True,1
153,6.12737,6.1143,False,1
