iter,program_id,quota_id,not_filled,lower_cutoff,upper_cutoff
1,1,2,FALSE,1,6.04667
1,1,3,FALSE,1,6.09418
1,3,2,TRUE,1,1
1,3,3,FALSE,1,4.11546
1,5,2,FALSE,1,6.02668
1,5,3,FALSE,1,6.09282
1,6,2,FALSE,1,5.0551
1,6,11,TRUE,1,1
1,7,2,FALSE,1,4.04307
1,7,3,FALSE,1,4.00649
1,9,2,FALSE,1,4.09409
1,9,3,FALSE,1,5.04754
1,10,2,TRUE,1,1
1,10,3,FALSE,1,5.05398
1,11,2,TRUE,1,1
1,11,3,FALSE,1,6.10501
1,13,2,FALSE,1,6.11656
1,13,3,FALSE,1,6.06574
1,17,2,FALSE,1,6.03857
1,17,3,FALSE,1,6.0108
1,18,2,FALSE,1,6.05951
1,18,3,FALSE,1,6.03388
1,19,2,TRUE,1,1
1,21,2,FALSE,1,6.0792
1,21,3,FALSE,1,6.09378
1,21,11,TRUE,1,1
1,22,3,FALSE,1,6.12917
1,25,2,FALSE,1,6.03872
1,25,3,FALSE,1,6.02636
1,29,2,FALSE,1,4.0035
1,29,3,FALSE,1,2.03898
1,30,2,FALSE,1,6.13109
1,69,11,FALSE,1,2.11322
1,70,11,FALSE,1,23.00473
1,71,11,FALSE,1,6.11171
1,72,11,FALSE,1,33.07328
1,73,11,FALSE,1,6.1448
1,74,11,FALSE,1,33.03539
1,75,11,FALSE,1,34.04192
1,76,11,FALSE,1,6.11534
1,77,11,FALSE,1,18.09162
1,78,11,FALSE,1,6.03497
1,79,11,FALSE,1,6.09138
1,82,11,FALSE,1,6.09584
1,83,11,FALSE,1,3.0864
1,84,11,FALSE,1,33.1432
1,85,11,TRUE,1,1
1,86,11,TRUE,1,1
1,91,11,FALSE,1,5.0741
1,92,11,FALSE,1,6.05991
1,93,11,FALSE,1,6.11622
1,95,11,FALSE,1,4.09911
1,98,2,FALSE,1,4.12335
1,98,3,FALSE,1,6.10432
1,99,2,FALSE,1,22.00184
1,99,3,FALSE,1,34.10573
1,100,2,FALSE,1,6.1184
1,100,3,FALSE,1,35.03387
1,101,2,FALSE,1,6.1223
1,101,3,FALSE,1,3.07249
1,103,2,FALSE,1,6.13316
1,103,3,FALSE,1,25.00583
1,104,2,FALSE,1,6.01039
1,104,3,FALSE,1,33.07835
1,106,2,FALSE,1,6.01642
1,106,3,FALSE,1,3.07943
1,107,2,FALSE,1,5.12802
1,107,3,FALSE,1,4.03851
1,109,2,FALSE,1,6.1365
1,109,3,FALSE,1,34.12537
1,110,2,FALSE,1,6.06643
1,110,3,FALSE,1,6.11995
1,111,2,FALSE,1,5.06052
1,111,3,FALSE,1,6.14223
1,112,2,FALSE,1,4.0374
1,112,3,FALSE,1,6.09179
1,113,2,FALSE,1,5.04122
1,113,3,FALSE,1,33.04689
1,114,2,FALSE,1,2.14243
1,114,3,FALSE,1,5.02238
1,115,2,FALSE,1,6.05669
1,115,3,FALSE,1,6.10241
1,116,2,FALSE,1,3.08593
1,116,3,FALSE,1,33.1299
1,117,2,FALSE,1,3.07844
1,117,3,FALSE,1,5.02204
1,118,2,FALSE,1,6.01826
1,118,3,FALSE,1,4.00644
1,120,2,FALSE,1,2.08999
1,120,3,FALSE,1,3.04053
1,121,2,FALSE,1,3.02439
1,121,3,FALSE,1,3.04624
1,122,2,FALSE,1,2.05615
1,122,3,FALSE,1,3.06912
1,123,2,FALSE,1,2.0553
1,123,3,FALSE,1,3.14183
1,124,11,FALSE,1,5.0101
1,125,11,FALSE,1,35.03701
1,126,11,FALSE,1,35.03775
1,127,11,FALSE,1,35.07555
1,128,11,FALSE,1,6.03096
1,129,11,FALSE,1,6.08023
1,130,11,FALSE,1,35.1248
1,131,11,FALSE,1,4.13582
1,133,11,FALSE,1,3.11292
1,134,11,FALSE,1,4.06721
1,135,11,FALSE,1,4.02737
1,136,11,FALSE,1,4.0658
1,137,11,TRUE,1,1
1,139,11,FALSE,1,5.0046
1,140,11,FALSE,1,4.09263
1,141,11,FALSE,1,6.02149
1,142,11,FALSE,1,3.13781
1,143,11,FALSE,1,1.05793
1,144,11,FALSE,1,4.01743
1,145,11,FALSE,1,30.07622
1,146,11,TRUE,1,1
1,147,11,FALSE,1,2.04663
1,148,11,TRUE,1,1
1,149,11,TRUE,1,1
1,150,11,FALSE,1,35.08358
1,151,11,TRUE,1,1
1,153,11,FALSE,1,6.12737
1,154,11,FALSE,1,6.06123
1,155,11,FALSE,1,4.08747
1,156,11,FALSE,1,6.00877
