iter,program_id,not_filled,lower_cutoff,upper_cutoff
1,233,FALSE,5.13716,1.00393
1,234,FALSE,5.12545,3.0633
1,235,FALSE,3.02028,3.06735
1,236,FALSE,1.13276,1.05424
1,237,FALSE,1.11889,1.07293
1,242,FALSE,4.14053,1.02249
1,243,FALSE,1.14679,1.07811
1,251,FALSE,4.08808,4.05215
1,252,FALSE,3.12196,1.13311
1,253,FALSE,5.08495,1.02007
1,254,FALSE,1.13839,1.01167
1,255,FALSE,3.02961,1.02494
1,256,FALSE,5.03794,1.02569
1,257,FALSE,5.08889,1.01322
1,258,FALSE,3.11731,1.09969
1,259,FALSE,1.14401,3.09123
1,260,FALSE,1.13606,1.03122
1,262,FALSE,6.12984,1.00158
1,263,FALSE,1.13525,1.05167
1,264,FALSE,4.0431,1.08968
1,265,FALSE,1.14522,1.1157
1,270,FALSE,1.14286,3.01786
1,271,FALSE,3.13351,1.08203
1,272,FALSE,1.10905,1.07061
1,273,FALSE,1.13292,1.08193
1,274,FALSE,1.14248,1.09192
1,275,FALSE,1.13454,3.01544
1,280,FALSE,1.10446,1.01638
1,289,FALSE,4.13478,1.04885
1,290,FALSE,1.1355,1.09621
1,291,FALSE,1.14407,1.14458
1,292,FALSE,1.13166,1.02262
1,293,FALSE,6.0971,5.0146
1,294,FALSE,5.13026,5.00251
1,295,FALSE,6.07435,5.0116
1,296,FALSE,5.05532,5.00667
1,297,FALSE,5.1218,1.12977
1,298,FALSE,5.09203,1.00593
1,299,FALSE,4.04659,1.09196
1,300,FALSE,5.02387,1.08845
1,301,FALSE,3.09835,1.01479
1,302,FALSE,5.04709,1.06126
1,303,FALSE,3.08752,1.03703
1,308,FALSE,6.10126,1.02242
1,317,FALSE,5.11417,1.02925
1,318,FALSE,6.14249,1.11602
1,319,FALSE,5.11257,1.07274
1,320,FALSE,5.09657,1.00026
1,321,FALSE,4.09038,1.03347
1,322,FALSE,3.10442,1.05256
1,323,FALSE,3.13476,1.01406
1,324,FALSE,3.09084,1.06279
1,325,FALSE,5.09611,1.04114
1,326,FALSE,3.10784,1.01547
1,328,FALSE,5.12064,1.07196
1,329,FALSE,6.02755,1.14199
1,330,FALSE,5.11959,1.08341
1,331,FALSE,5.0437,1.03451
1,332,FALSE,5.1316,1.11979
1,333,FALSE,5.11689,3.0905
1,334,FALSE,1.1383,1.10738
1,335,FALSE,5.10422,1.11924
1,336,FALSE,5.14074,1.06455
1,337,FALSE,5.08087,1.12803
1,339,FALSE,5.06056,1.07556
1,340,TRUE,1.04802,1
1,341,TRUE,5.09448,1
1,342,FALSE,1.10689,6.02564
1,343,TRUE,1,1
1,346,FALSE,5.05087,1.08475
1,347,FALSE,6.03309,1.10418
1,348,FALSE,5.06398,1.09927
1,349,FALSE,5.06748,1.00382
1,350,FALSE,4.02517,1.13594
1,351,FALSE,5.06499,1.14385
1,352,FALSE,4.0002,1.0962
1,353,FALSE,7.09145,4.09648
1,354,FALSE,5.10118,4.08754
1,355,FALSE,3.12022,1.03149
1,357,FALSE,4.13624,1.05593
1,358,FALSE,3.10758,1.08956
1,359,FALSE,3.06842,1.10956
1,361,FALSE,5.05733,1.11401
1,363,FALSE,5.06897,5.07959
1,364,FALSE,5.05813,5.06372
1,365,FALSE,3.0369,1.12356
1,366,FALSE,1.13824,1.12834
1,367,FALSE,5.11728,5.06467
1,370,FALSE,3.14079,1.10495
1,371,FALSE,3.09121,1.14152
1,372,FALSE,6.05413,1.14204
1,373,FALSE,1.14405,1.1292
1,374,FALSE,7.09844,1.00736
1,375,FALSE,3.03134,1.00988
1,376,FALSE,1.14482,1.11567
1,377,FALSE,1.01907,1.05356
1,378,FALSE,3.12083,3.05759
1,379,FALSE,1.0691,3.10834
1,380,FALSE,3.10583,4.09585
1,381,FALSE,1.08047,1.06799
1,383,FALSE,5.13869,1.0575
1,384,FALSE,5.13424,1.14539
1,385,FALSE,5.08027,1.00157
1,386,FALSE,5.08511,1.0657
1,387,FALSE,4.07158,1.01867
1,388,FALSE,1.12602,1.0113
1,389,FALSE,2.07204,1.01886
1,390,FALSE,2.05594,1.00466
1,391,FALSE,3.02939,1.0168
1,394,FALSE,5.09642,1.00141
1,395,FALSE,1.03116,5.05102
1,396,FALSE,1.10476,5.13786
1,397,FALSE,1.1275,5.00409
1,398,FALSE,3.05839,5.08737
1,403,FALSE,4.10234,1.03589
1,404,FALSE,4.08154,5.01403
1,405,FALSE,1.11362,5.08787
1,406,FALSE,1,1.07701
1,407,FALSE,3.04393,4.01561
1,408,TRUE,1.02361,1
1,412,FALSE,6.12594,5.00154
1,413,FALSE,5.02959,5.00076
1,414,FALSE,6.08054,5.0464
1,415,FALSE,3.06065,5.00482
1,416,FALSE,3.06114,3.09168
1,417,FALSE,3.04552,1.12475
1,418,FALSE,5.03225,5.07115
1,419,FALSE,5.1428,3.12439
1,420,FALSE,3.06575,3.0814
1,421,FALSE,5.13737,3.13139
1,422,FALSE,5.07179,1.14698
1,423,FALSE,3.08778,1.07965
1,425,FALSE,1.13029,1.10048
1,426,FALSE,4.12218,1.08776
1,427,FALSE,1.14331,1.06395
1,428,FALSE,3.07521,3.10632
1,429,FALSE,3.04545,3.1012
2,1,FALSE,3.04987,1.09502
2,3,FALSE,1.00575,1.05619
2,5,FALSE,7.09541,1.07
2,6,FALSE,3.04143,1.12668
2,7,FALSE,1,1.02469
2,9,FALSE,1.10206,1.00397
2,10,FALSE,1.10401,1.04884
2,11,FALSE,1,1.05275
2,13,FALSE,1.12835,1.13396
2,17,FALSE,4.10424,1.02742
2,18,FALSE,1.07891,1.04582
2,19,TRUE,3.09065,1
2,21,FALSE,3.14173,1.07368
2,22,FALSE,1.1435,1.13505
2,25,FALSE,4.00253,1.03395
2,29,FALSE,1.14447,1.01944
2,30,FALSE,1.14343,1.03871
2,69,FALSE,4.11815,1.00036
2,70,FALSE,3.13587,3.0116
2,71,FALSE,1.09565,1.10504
2,72,FALSE,3.10469,3.05381
2,73,FALSE,3.04199,3.011
2,74,FALSE,7.04128,3.01884
2,75,FALSE,3.13649,4.02926
2,76,FALSE,1.14549,1.14474
2,77,FALSE,1.14493,3.03866
2,78,FALSE,4.1387,1.09039
2,79,FALSE,3.14707,1.1155
2,82,FALSE,4.10216,1.06748
2,83,FALSE,1.09711,1.07821
2,84,FALSE,1,3.01749
2,85,FALSE,1,1.13646
2,86,TRUE,4.03414,1
2,91,FALSE,1.14619,1.07096
2,92,FALSE,1.1448,1.12766
2,93,FALSE,3.07492,1.12974
2,95,FALSE,1.13368,1.04035
2,98,FALSE,5.06405,1.09617
2,99,FALSE,5.03527,2.06486
2,100,FALSE,6.12819,1.11853
2,101,FALSE,3.09251,1.03831
2,103,FALSE,5.09423,1.12501
2,104,FALSE,5.09194,1.12556
2,106,FALSE,5.01162,1.14152
2,107,FALSE,6.09706,1.00466
2,109,FALSE,4.06109,1.1015
2,110,FALSE,3.11779,1.11551
2,111,FALSE,3.11174,1.01484
2,112,FALSE,2.14393,1.03503
2,113,FALSE,3.09799,1.0504
2,114,FALSE,1.13175,1.03722
2,115,FALSE,1.13609,1.11917
2,116,FALSE,3.10307,1.04331
2,117,FALSE,1.12725,1.09122
2,118,FALSE,3.08652,1.02799
2,120,FALSE,4.1167,1.00495
2,121,FALSE,1.13005,1.00376
2,122,FALSE,1.14463,1.00395
2,123,FALSE,1.07286,1.0005
2,124,FALSE,7.08805,1.03182
2,125,FALSE,4.13714,5.04306
2,126,FALSE,5.09869,5.1339
2,127,FALSE,4.12542,1.05551
2,128,FALSE,5.11308,1.02251
2,129,FALSE,5.10803,1.13178
2,130,FALSE,5.08413,5.14201
2,131,FALSE,1.1032,1.14199
2,133,FALSE,1.14573,1.01043
2,134,FALSE,1.14259,1.00867
2,135,FALSE,1.11595,1.03073
2,136,FALSE,1.12833,1.02368
2,137,TRUE,1.12072,1
2,139,FALSE,1.09802,1.01804
2,140,FALSE,1.07024,1.03629
2,141,FALSE,1.00147,1.11854
2,142,FALSE,1.1379,1.0859
2,143,FALSE,1.12849,1.03322
2,144,FALSE,1.0874,1.14172
2,145,FALSE,1,5.08212
2,146,TRUE,1,1
2,147,FALSE,1,1.05189
2,148,TRUE,1,1
2,149,TRUE,3.00703,1
2,150,FALSE,1,5.03999
